,model_name,train_dataset,test_dataset,fpr_at_target,fpr_at_target_percent,threshold_at_target,target_tpr,file
13,clip_large,df40-fs-ff,FSAll_cdf,0.0056179775280898875,0.5617977528089888,0.9997943639755249,0.8,/home/antoine/df-benchmark/exps_old/FSAll_cdf/clip_large/train_on_df40-fs-ff/preds/video-level/2026-02-20T17-49-47A.json
3,clip_base,df40-fs-ff,FSAll_cdf,0.011235955056179775,1.1235955056179776,0.9944776296615601,0.8,/home/antoine/df-benchmark/exps_old/FSAll_cdf/clip_base/train_on_df40-fs-ff/preds/video-level/2026-02-20T17-02-06A.json
11,spsl,df40-fs-ff,FSAll_cdf,0.016853932584269662,1.6853932584269662,0.9761207103729248,0.8,/home/antoine/df-benchmark/exps_old/FSAll_cdf/spsl/train_on_df40-fs-ff/preds/video-level/2026-02-21T12-42-10A.json
58,i3d,df40-fr-ff,FRAll_cdf,0.032679738562091505,3.2679738562091507,0.9999983310699463,0.8,/home/antoine/df-benchmark/exps_old/FRAll_cdf/i3d/train_on_df40-fr-ff/preds/video-level/2026-02-20T11-38-48A.json
29,xception,df40-fs-ff,FSAll_cdf,0.033707865168539325,3.3707865168539324,0.946456253528595,0.8,/home/antoine/df-benchmark/exps_old/FSAll_cdf/xception/train_on_df40-fs-ff/preds/video-level/2026-02-21T14-21-31A.json
17,recce,df40-fs-ff,FSAll_cdf,0.03932584269662921,3.932584269662921,0.9897769689559937,0.8,/home/antoine/df-benchmark/exps_old/FSAll_cdf/recce/train_on_df40-fs-ff/preds/video-level/2026-02-20T18-34-42A.json
7,rfm,df40-fs-ff,FSAll_cdf,0.03932584269662921,3.932584269662921,0.9995595216751099,0.8,/home/antoine/df-benchmark/exps_old/FSAll_cdf/rfm/train_on_df40-fs-ff/preds/video-level/2026-02-21T12-19-18A.json
15,clip_large,df40-all-ff,FSAll_cdf,0.0449438202247191,4.49438202247191,0.9999845027923584,0.8,/home/antoine/df-benchmark/exps_old/FSAll_cdf/clip_large/train_on_df40-all-ff/preds/video-level/2026-02-20T17-33-38A.json
37,clip_base,df40-all-ff,FRAll_cdf,0.0449438202247191,4.49438202247191,0.9999651908874512,0.8,/home/antoine/df-benchmark/exps_old/FRAll_cdf/clip_base/train_on_df40-all-ff/preds/video-level/2026-02-19T23-52-02A.json
25,i3d,df40-fs-ff,FSAll_cdf,0.0457516339869281,4.57516339869281,0.9923827648162842,0.8,/home/antoine/df-benchmark/exps_old/FSAll_cdf/i3d/train_on_df40-fs-ff/preds/video-level/2026-02-20T17-54-05A.json
36,clip_base,df40-fr-ff,FRAll_cdf,0.05056179775280899,5.056179775280898,0.9995790123939514,0.8,/home/antoine/df-benchmark/exps_old/FRAll_cdf/clip_base/train_on_df40-fr-ff/preds/video-level/2026-02-20T00-36-11A.json
23,srm,df40-fs-ff,FSAll_cdf,0.056179775280898875,5.617977528089887,0.783616840839386,0.8,/home/antoine/df-benchmark/exps_old/FSAll_cdf/srm/train_on_df40-fs-ff/preds/video-level/2026-02-21T13-26-36A.json
46,clip_large,df40-fr-ff,FRAll_cdf,0.06179775280898876,6.179775280898876,0.9999309778213501,0.8,/home/antoine/df-benchmark/exps_old/FRAll_cdf/clip_large/train_on_df40-fr-ff/preds/video-level/2026-02-20T09-59-12A.json
5,clip_base,df40-all-ff,FSAll_cdf,0.07303370786516854,7.303370786516854,0.9999430179595947,0.8,/home/antoine/df-benchmark/exps_old/FSAll_cdf/clip_base/train_on_df40-all-ff/preds/video-level/2026-02-20T16-46-45A.json
59,i3d,df40-all-ff,FRAll_cdf,0.0784313725490196,7.8431372549019605,0.9998794198036194,0.8,/home/antoine/df-benchmark/exps_old/FRAll_cdf/i3d/train_on_df40-all-ff/preds/video-level/2026-02-20T11-27-38A.json
20,effort,ff-orig,FSAll_cdf,0.07865168539325842,7.865168539325842,0.7008888721466064,0.8,/home/antoine/df-benchmark/exps_old/FSAll_cdf/effort/train_on_ff-orig/preds/video-level/2026-02-20T09-20-56A.json
47,clip_large,df40-all-ff,FRAll_cdf,0.08426966292134831,8.426966292134832,0.9999700784683228,0.8,/home/antoine/df-benchmark/exps_old/FRAll_cdf/clip_large/train_on_df40-all-ff/preds/video-level/2026-02-20T00-59-48A.json
62,xception,df40-fr-ff,FRAll_cdf,0.15730337078651685,15.730337078651685,0.9993984699249268,0.8,/home/antoine/df-benchmark/exps_old/FRAll_cdf/xception/train_on_df40-fr-ff/preds/video-level/2026-02-20T16-20-26A.json
44,spsl,df40-fr-ff,FRAll_cdf,0.16853932584269662,16.853932584269664,0.990103542804718,0.8,/home/antoine/df-benchmark/exps_old/FRAll_cdf/spsl/train_on_df40-fr-ff/preds/video-level/2026-02-20T13-56-34A.json
40,rfm,df40-fr-ff,FRAll_cdf,0.16853932584269662,16.853932584269664,0.9997879862785339,0.8,/home/antoine/df-benchmark/exps_old/FRAll_cdf/rfm/train_on_df40-fr-ff/preds/video-level/2026-02-20T13-22-51A.json
56,srm,df40-fr-ff,FRAll_cdf,0.1853932584269663,18.53932584269663,0.9542729258537292,0.8,/home/antoine/df-benchmark/exps_old/FRAll_cdf/srm/train_on_df40-fr-ff/preds/video-level/2026-02-20T15-16-26A.json
27,i3d,df40-all-ff,FSAll_cdf,0.1895424836601307,18.954248366013072,0.9992098212242126,0.8,/home/antoine/df-benchmark/exps_old/FSAll_cdf/i3d/train_on_df40-all-ff/preds/video-level/2026-02-20T09-33-00A.json
50,recce,df40-fr-ff,FRAll_cdf,0.21910112359550563,21.910112359550563,0.9966970682144165,0.8,/home/antoine/df-benchmark/exps_old/FRAll_cdf/recce/train_on_df40-fr-ff/preds/video-level/2026-02-20T13-00-45A.json
57,i3d,df40-fs-ff,FRAll_cdf,0.2549019607843137,25.49019607843137,0.5638841390609741,0.8,/home/antoine/df-benchmark/exps_old/FRAll_cdf/i3d/train_on_df40-fs-ff/preds/video-level/2026-02-20T11-33-13A.json
31,xception,df40-all-ff,FSAll_cdf,0.2752808988764045,27.52808988764045,0.9995579719543457,0.8,/home/antoine/df-benchmark/exps_old/FSAll_cdf/xception/train_on_df40-all-ff/preds/video-level/2026-02-21T14-13-53A.json
63,xception,df40-all-ff,FRAll_cdf,0.2752808988764045,27.52808988764045,0.9995375871658325,0.8,/home/antoine/df-benchmark/exps_old/FRAll_cdf/xception/train_on_df40-all-ff/preds/video-level/2026-02-20T15-58-28A.json
45,clip_large,df40-fs-ff,FRAll_cdf,0.3595505617977528,35.95505617977528,0.9122604131698608,0.8,/home/antoine/df-benchmark/exps_old/FRAll_cdf/clip_large/train_on_df40-fs-ff/preds/video-level/2026-02-20T01-23-27A.json
35,clip_base,df40-fs-ff,FRAll_cdf,0.4438202247191011,44.38202247191011,0.533272385597229,0.8,/home/antoine/df-benchmark/exps_old/FRAll_cdf/clip_base/train_on_df40-fs-ff/preds/video-level/2026-02-20T00-14-06A.json
14,clip_large,df40-fr-ff,FSAll_cdf,0.449438202247191,44.9438202247191,0.9991883039474487,0.8,/home/antoine/df-benchmark/exps_old/FSAll_cdf/clip_large/train_on_df40-fr-ff/preds/video-level/2026-02-20T07-57-47A.json
54,srm,ff-orig,FRAll_cdf,0.47752808988764045,47.752808988764045,0.47511976957321167,0.8,/home/antoine/df-benchmark/exps_old/FRAll_cdf/srm/train_on_ff-orig/preds/video-level/2026-02-20T14-23-11A.json
16,recce,ff-orig,FSAll_cdf,0.5,50.0,0.2851652503013611,0.8,/home/antoine/df-benchmark/exps_old/FSAll_cdf/recce/train_on_ff-orig/preds/video-level/2026-02-20T18-18-51A.json
33,capsule_net,ff-orig,FRAll_cdf,0.5,50.0,0.47788822650909424,0.8,/home/antoine/df-benchmark/exps_old/FRAll_cdf/capsule_net/train_on_ff-orig/preds/video-level/2026-02-19T23-29-58A.json
22,srm,ff-orig,FSAll_cdf,0.5280898876404494,52.80898876404494,0.46178942918777466,0.8,/home/antoine/df-benchmark/exps_old/FSAll_cdf/srm/train_on_ff-orig/preds/video-level/2026-02-21T13-08-15A.json
21,ucf,ff-orig,FSAll_cdf,0.5280898876404494,52.80898876404494,0.12234167754650116,0.8,/home/antoine/df-benchmark/exps_old/FSAll_cdf/ucf/train_on_ff-orig/preds/video-level/2026-02-21T13-58-35A.json
38,meso4incep,ff-orig,FRAll_cdf,0.5337078651685393,53.37078651685393,0.5974933505058289,0.8,/home/antoine/df-benchmark/exps_old/FRAll_cdf/meso4incep/train_on_ff-orig/preds/video-level/2026-02-20T11-45-15A.json
53,ucf,ff-orig,FRAll_cdf,0.5393258426966292,53.93258426966292,0.11941871047019958,0.8,/home/antoine/df-benchmark/exps_old/FRAll_cdf/ucf/train_on_ff-orig/preds/video-level/2026-02-20T15-36-21A.json
10,spsl,ff-orig,FSAll_cdf,0.5449438202247191,54.49438202247191,0.6497694253921509,0.8,/home/antoine/df-benchmark/exps_old/FSAll_cdf/spsl/train_on_ff-orig/preds/video-level/2026-02-21T12-34-30A.json
41,efficientnetb4,ff-orig,FRAll_cdf,0.5561797752808989,55.61797752808989,0.27717816829681396,0.8,/home/antoine/df-benchmark/exps_old/FRAll_cdf/efficientnetb4/train_on_ff-orig/preds/video-level/2026-02-20T10-27-35A.json
9,efficientnetb4,ff-orig,FSAll_cdf,0.5617977528089888,56.17977528089888,0.27004653215408325,0.8,/home/antoine/df-benchmark/exps_old/FSAll_cdf/efficientnetb4/train_on_ff-orig/preds/video-level/2026-02-20T08-17-20A.json
43,spsl,df40-fs-ff,FRAll_cdf,0.5674157303370787,56.74157303370787,0.3825022280216217,0.8,/home/antoine/df-benchmark/exps_old/FRAll_cdf/spsl/train_on_df40-fs-ff/preds/video-level/2026-02-20T13-45-21A.json
19,f3net,ff-orig,FSAll_cdf,0.5674157303370787,56.74157303370787,0.1647101640701294,0.8,/home/antoine/df-benchmark/exps_old/FSAll_cdf/f3net/train_on_ff-orig/preds/video-level/2026-02-20T09-28-49A.json
48,recce,ff-orig,FRAll_cdf,0.5730337078651685,57.30337078651685,0.24786433577537537,0.8,/home/antoine/df-benchmark/exps_old/FRAll_cdf/recce/train_on_ff-orig/preds/video-level/2026-02-20T12-07-57A.json
32,core,ff-orig,FRAll_cdf,0.5730337078651685,57.30337078651685,0.40158095955848694,0.8,/home/antoine/df-benchmark/exps_old/FRAll_cdf/core/train_on_ff-orig/preds/video-level/2026-02-20T10-10-04A.json
42,spsl,ff-orig,FRAll_cdf,0.5786516853932584,57.865168539325836,0.6322214603424072,0.8,/home/antoine/df-benchmark/exps_old/FRAll_cdf/spsl/train_on_ff-orig/preds/video-level/2026-02-20T13-34-06A.json
60,xception,ff-orig,FRAll_cdf,0.5898876404494382,58.98876404494382,0.38518834114074707,0.8,/home/antoine/df-benchmark/exps_old/FRAll_cdf/xception/train_on_ff-orig/preds/video-level/2026-02-20T15-47-19A.json
52,effort,ff-orig,FRAll_cdf,0.5955056179775281,59.55056179775281,0.3723788559436798,0.8,/home/antoine/df-benchmark/exps_old/FRAll_cdf/effort/train_on_ff-orig/preds/video-level/2026-02-20T11-10-25A.json
51,f3net,ff-orig,FRAll_cdf,0.5955056179775281,59.55056179775281,0.15421804785728455,0.8,/home/antoine/df-benchmark/exps_old/FRAll_cdf/f3net/train_on_ff-orig/preds/video-level/2026-02-20T11-21-57A.json
4,clip_base,df40-fr-ff,FSAll_cdf,0.601123595505618,60.1123595505618,0.9801377058029175,0.8,/home/antoine/df-benchmark/exps_old/FSAll_cdf/clip_base/train_on_df40-fr-ff/preds/video-level/2026-02-20T17-17-27A.json
39,rfm,df40-fs-ff,FRAll_cdf,0.6067415730337079,60.67415730337079,0.6538661122322083,0.8,/home/antoine/df-benchmark/exps_old/FRAll_cdf/rfm/train_on_df40-fs-ff/preds/video-level/2026-02-20T13-11-50A.json
49,recce,df40-fs-ff,FRAll_cdf,0.6123595505617978,61.23595505617978,0.29071810841560364,0.8,/home/antoine/df-benchmark/exps_old/FRAll_cdf/recce/train_on_df40-fs-ff/preds/video-level/2026-02-20T12-30-41A.json
61,xception,df40-fs-ff,FRAll_cdf,0.6179775280898876,61.79775280898876,0.21429018676280975,0.8,/home/antoine/df-benchmark/exps_old/FRAll_cdf/xception/train_on_df40-fs-ff/preds/video-level/2026-02-20T16-09-27A.json
28,xception,ff-orig,FSAll_cdf,0.6292134831460674,62.92134831460674,0.364626407623291,0.8,/home/antoine/df-benchmark/exps_old/FSAll_cdf/xception/train_on_ff-orig/preds/video-level/2026-02-21T14-06-15A.json
1,capsule_net,ff-orig,FSAll_cdf,0.6460674157303371,64.60674157303372,0.44500264525413513,0.8,/home/antoine/df-benchmark/exps_old/FSAll_cdf/capsule_net/train_on_ff-orig/preds/video-level/2026-02-20T16-31-23A.json
55,srm,df40-fs-ff,FRAll_cdf,0.651685393258427,65.1685393258427,0.4027528464794159,0.8,/home/antoine/df-benchmark/exps_old/FRAll_cdf/srm/train_on_df40-fs-ff/preds/video-level/2026-02-20T14-49-50A.json
26,i3d,df40-fr-ff,FSAll_cdf,0.6601307189542484,66.01307189542483,0.8584499359130859,0.8,/home/antoine/df-benchmark/exps_old/FSAll_cdf/i3d/train_on_df40-fr-ff/preds/video-level/2026-02-20T17-58-18A.json
0,core,ff-orig,FSAll_cdf,0.6853932584269663,68.53932584269663,0.35102787613868713,0.8,/home/antoine/df-benchmark/exps_old/FSAll_cdf/core/train_on_ff-orig/preds/video-level/2026-02-20T08-05-15A.json
6,meso4incep,ff-orig,FSAll_cdf,0.7247191011235955,72.47191011235955,0.5619292259216309,0.8,/home/antoine/df-benchmark/exps_old/FSAll_cdf/meso4incep/train_on_ff-orig/preds/video-level/2026-02-20T18-02-53A.json
8,rfm,df40-fr-ff,FSAll_cdf,0.7415730337078652,74.15730337078652,0.8695237636566162,0.8,/home/antoine/df-benchmark/exps_old/FSAll_cdf/rfm/train_on_df40-fr-ff/preds/video-level/2026-02-21T12-26-52A.json
30,xception,df40-fr-ff,FSAll_cdf,0.7528089887640449,75.28089887640449,0.5794016122817993,0.8,/home/antoine/df-benchmark/exps_old/FSAll_cdf/xception/train_on_df40-fr-ff/preds/video-level/2026-02-21T14-29-09A.json
18,recce,df40-fr-ff,FSAll_cdf,0.7752808988764045,77.52808988764045,0.24732547998428345,0.8,/home/antoine/df-benchmark/exps_old/FSAll_cdf/recce/train_on_df40-fr-ff/preds/video-level/2026-02-20T18-50-40A.json
2,meso4,ff-orig,FSAll_cdf,0.7921348314606742,79.21348314606742,0.65473872423172,0.8,/home/antoine/df-benchmark/exps_old/FSAll_cdf/meso4/train_on_ff-orig/preds/video-level/2026-02-20T18-00-30A.json
24,srm,df40-fr-ff,FSAll_cdf,0.8202247191011236,82.02247191011236,0.5978158116340637,0.8,/home/antoine/df-benchmark/exps_old/FSAll_cdf/srm/train_on_df40-fr-ff/preds/video-level/2026-02-21T13-44-54A.json
12,spsl,df40-fr-ff,FSAll_cdf,0.8258426966292135,82.58426966292134,0.6058384776115417,0.8,/home/antoine/df-benchmark/exps_old/FSAll_cdf/spsl/train_on_df40-fr-ff/preds/video-level/2026-02-21T12-49-52A.json
34,meso4,ff-orig,FRAll_cdf,0.8426966292134831,84.26966292134831,0.6395587921142578,0.8,/home/antoine/df-benchmark/exps_old/FRAll_cdf/meso4/train_on_ff-orig/preds/video-level/2026-02-20T11-41-53A.json
